code	url	creator	created_t	created_datetime	last_modified_t	last_modified_datetime	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	categories_fr	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	labels_fr	emb_codes	emb_codes_tags	first_packaging_code_geo	cities	cities_tags	purchase_places	stores	countries	countries_tags	countries_fr	ingredients_text	allergens	allergens_fr	traces	traces_tags	traces_fr	serving_size	serving_quantity	no_nutriments	additives_n	additives	additives_tags	additives_fr	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutriscore_score	nutriscore_grade	nova_group	pnns_groups_1	pnns_groups_2	states	states_tags	states_fr	brand_owner	main_category	main_category_fr	image_url	image_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy-kj_100g	energy-kcal_100g	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	butyric-acid_100g	caproic-acid_100g	caprylic-acid_100g	capric-acid_100g	lauric-acid_100g	myristic-acid_100g	palmitic-acid_100g	stearic-acid_100g	arachidic-acid_100g	behenic-acid_100g	lignoceric-acid_100g	cerotic-acid_100g	montanic-acid_100g	melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	alpha-linolenic-acid_100g	eicosapentaenoic-acid_100g	docosahexaenoic-acid_100g	omega-6-fat_100g	linoleic-acid_100g	arachidonic-acid_100g	gamma-linolenic-acid_100g	dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	oleic-acid_100g	elaidic-acid_100g	gondoic-acid_100g	mead-acid_100g	erucic-acid_100g	nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	sucrose_100g	glucose_100g	fructose_100g	lactose_100g	maltose_100g	maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	soluble-fiber_100g	insoluble-fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0000000000017	http://world-fr.openfoodfacts.org/produit/0000000000017/vitoria-crackers	kiliweb	1529059080	2018-06-15T10:38:00Z	1561463718	2019-06-25T11:55:18Z	Vitória crackers																								France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/0017/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0017/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0017/ingredients_fr.9.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0017/ingredients_fr.9.200.jpg				1569	1569		7	3.08																																			70.1	15												7.8				1.4	0.56																																																				
0000000000031	http://world-fr.openfoodfacts.org/produit/0000000000031/cacao	isagoofy	1539464774	2018-10-13T21:06:14Z	1539464817	2018-10-13T21:06:57Z	Cacao		130 g																						France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité complétée,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/0031/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0031/front_fr.3.200.jpg																																																																																																																			
000000000003327986	http://world-fr.openfoodfacts.org/produit/000000000003327986/filetes-de-pollo-empanado	kiliweb	1574175736	2019-11-19T15:02:16Z	1574175737	2019-11-19T15:02:17Z	Filetes de pollo empanado																								en:es	en:spain	Espagne																							unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/003327986/front_es.3.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/003327986/front_es.3.200.jpg			https://static.openfoodfacts.org/images/products/000/000/000/003327986/nutrition_es.5.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/003327986/nutrition_es.5.200.jpg																																																																																																															
0000000000100	http://world-fr.openfoodfacts.org/produit/0000000000100/moutarde-au-mout-de-raisin-courte-paille	del51	1444572561	2015-10-11T14:09:21Z	1444659212	2015-10-12T14:13:32Z	 moutarde au moût de raisin 		100g			courte paille	courte-paille	Epicerie, Condiments, Sauces, Moutardes	en:groceries,en:condiments,en:sauces,en:mustards	Epicerie,Condiments,Sauces,Moutardes					Delois france	fr:delois-france	Delois-france							courte paille	France	en:france	France	eau graines de téguments de moutarde vinaigre de vin rouge sel vin rouge sucre   moût de raisin (6.2%) oignons colorants extraits de carotte et extrait de paprika huile de tournesol son de moutarde sel (cette _moutarde_ uniquement disponible chez courte paille)	en:mustard								0				0			0			18	d		Fat and sauces	Dressings and sauces	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-to-be-completed, en:packaging-to-be-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-completed,en:characteristics-to-be-completed,en:packaging-to-be-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite complétée,Caractéristiques à compléter,Emballage à compléter,Photos à valider,Photos envoyées		en:mustards	Moutardes	https://static.openfoodfacts.org/images/products/000/000/000/0100/front.3.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0100/front.3.200.jpg					936		936		8.2	2.2																																			29	22									0			5.1				4.6	1.81102362204724																																												18								
00000000001111111111	http://world-fr.openfoodfacts.org/produit/00000000001111111111/sfiudwx-watt	openfoodfacts-contributors	1560020173	2019-06-08T18:56:13Z	1560020173	2019-06-08T18:56:13Z	Sfiudwx		dgesc			Watt	watt	Xsf	fr:xsf	Xsf															en:France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques complétées,Emballage à compléter,Quantité complétée,Nom du produit complete,Photos à envoyer		fr:xsf	Xsf																																																																																																																					
0000000000123	http://world-fr.openfoodfacts.org/produit/0000000000123/sauce-sweety-chili-0	kiliweb	1535737982	2018-08-31T17:53:02Z	1535737986	2018-08-31T17:53:06Z	Sauce Sweety chili 0%																								France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/0123/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0123/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0123/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0123/ingredients_fr.7.200.jpg				88	88		0	0																																			4.8	0.4												0.2				2.04	0.816																																																				
0000000000178	http://world-fr.openfoodfacts.org/produit/0000000000178/mini-coco	kiliweb	1542456332	2018-11-17T12:05:32Z	1542456333	2018-11-17T12:05:33Z	Mini coco																								France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/0178/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0178/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0178/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0178/ingredients_fr.7.200.jpg				251	251		3	1																																			10	3												2				1.15	0.46																																																				
0000000000208	http://world-fr.openfoodfacts.org/produit/0000000000208/pistou-d-ail-des-ours	kiliweb	1544207680	2018-12-07T18:34:40Z	1544207683	2018-12-07T18:34:43Z	Pistou d'ail des ours																								France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/0208/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0208/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0208/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0208/ingredients_fr.7.200.jpg																																																																																																																	
0000000000284	http://world-fr.openfoodfacts.org/produit/0000000000284/pain-mais	kiliweb	1547120245	2019-01-10T11:37:25Z	1563551052	2019-07-19T15:44:12Z	Pain maïs																								en:france	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/0284/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0284/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0284/ingredients_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0284/ingredients_fr.8.200.jpg																																																																																																																	
0000000000291	http://world-fr.openfoodfacts.org/produit/0000000000291/mendiants	kiliweb	1534239669	2018-08-14T09:41:09Z	1534239732	2018-08-14T09:42:12Z	Mendiants																								France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/0291/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0291/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0291/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0291/ingredients_fr.7.200.jpg																																																																																																																	
000000000054	http://world-fr.openfoodfacts.org/produit/000000000054/limonade-artisanale-a-la-rose	kiliweb	1582569031	2020-02-24T18:30:31Z	1582569032	2020-02-24T18:30:32Z	Limonade artisanale a la rose																								en:fr	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/054/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/054/front_fr.3.200.jpg																																																																																																																			
000000000075	http://world-fr.openfoodfacts.org/produit/000000000075/sachet-calisson	kiliweb	1577358367	2019-12-26T11:06:07Z	1577358368	2019-12-26T11:06:08Z	Sachet calisson																								en:fr	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/075/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/075/front_fr.3.200.jpg																																																														0	0																																																				
000000000088	http://world-fr.openfoodfacts.org/produit/000000000088/pate-d-amende	kiliweb	1577358222	2019-12-26T11:03:42Z	1577358410	2019-12-26T11:06:50Z	Pate d'amende							Pâte d'amende	fr:pate-d-amende	Pate-d-amende															en:fr	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées		fr:pate-d-amende	Pate-d-amende	https://static.openfoodfacts.org/images/products/000/000/000/088/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/088/front_fr.3.200.jpg			https://static.openfoodfacts.org/images/products/000/000/000/088/nutrition_fr.5.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/088/nutrition_fr.5.200.jpg																																																										0	0																																																				
0000000000949	http://world-fr.openfoodfacts.org/produit/0000000000949/salade-de-carottes-rapees	kiliweb	1523440813	2018-04-11T10:00:13Z	1565268412	2019-08-08T12:46:52Z	Salade de carottes râpées							Plats préparés, Légumes préparés, Carottes râpées, Carottes râpées assaisonnées	en:meals,en:prepared-vegetables,en:grated-carrots,en:seasoned-shredded-carrots	Plats préparés,Légumes préparés,Carottes râpées,Carottes râpées assaisonnées															France	en:france	France																				1	b		Composite foods	One-dish meals	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées		en:seasoned-shredded-carrots	Carottes râpées assaisonnées	https://static.openfoodfacts.org/images/products/000/000/000/0949/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0949/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0949/ingredients_fr.10.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0949/ingredients_fr.10.200.jpg				134	134		0.3	0.1																																			5.3	3.9												0.9				0.42	0.168																																												1								
0000000000970	http://world-fr.openfoodfacts.org/produit/0000000000970/fromage-blanc-aux-myrtilles	kiliweb	1520506368	2018-03-08T10:52:48Z	1561463726	2019-06-25T11:55:26Z	Fromage blanc aux myrtilles																								France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/0970/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0970/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0970/ingredients_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/0970/ingredients_fr.8.200.jpg				540	540		4.9	3.1																																			16.3	16.3												4.4				0.25	0.1																																																				
0000000001001	http://world-fr.openfoodfacts.org/produit/0000000001001	openfoodfacts-contributors	1537766416	2018-09-24T05:20:16Z	1537766416	2018-09-24T05:20:16Z																									France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-to-be-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit à compléter,Photos à valider,Photos envoyées																																																																																																																								
0000000001007	http://world-fr.openfoodfacts.org/produit/0000000001007/vainilla	kiliweb	1538127563	2018-09-28T09:39:23Z	1538127565	2018-09-28T09:39:25Z	Vainilla																								France	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	A compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/000/000/000/1007/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/1007/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/000/000/1007/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/000/000/000/1007/ingredients_fr.7.200.jpg																																																																																																																	
